,Position,value
COG0015,877,-211.18525615477245
COG0015,878,-229.72139318986922
COG0015,879,-233.5208016250166
COG0015,880,-265.0763740725055
COG0015,881,-196.00815446021693
COG0015,882,-214.58516663023818
COG0015,883,-249.9631124821293
COG0015,884,-228.18849278154323
COG0015,885,-216.8175566749992
COG0015,886,-232.8007897215275
COG0015,887,-206.20068771482136
COG0015,888,-220.85037709653795
COG0015,889,-214.76340411464446
COG0015,890,-249.25149056125974
COG0015,891,-236.34950445013965
COG0015,892,-201.0212188091332
COG0015,893,-209.43045710077547
COG0015,894,-240.8442965368729
COG0015,895,-242.8781370228429
COG0015,896,-242.9838558647166
COG0015,897,-252.17058055127342
COG0015,898,-231.91840962762114
COG0015,899,-163.64516318485357
COG0015,900,-174.81972879552302
COG0015,901,-201.85859440500258
COG0015,902,-241.56636667919952
COG0015,903,-219.34496899437897
COG0015,904,-167.01511914368325
COG0015,905,-215.91013005655998
COG0015,906,-188.75155789241717
COG0015,907,-221.39442719216174
COG0015,908,-234.47120052130003
COG0015,909,-242.33057637825243
COG0015,910,-197.38861744073733
COG0015,911,-222.29123520995984
COG0015,912,-229.64060746326084
COG0015,913,-191.4933595560475
COG0015,914,17323.5399048964
COG0015,915,-203.6181789688062
COG0015,916,-180.48361915542398
COG0015,917,-190.6769866449414
COG0015,918,-149.02727789636378
COG0015,919,-160.76259216760013
COG0015,920,-207.26194863222088
COG0015,921,-208.91062884092878
COG0015,922,-147.2593453849163
COG0015,923,-191.99378899444616
COG0015,924,-225.48020089777776
COG0015,925,-181.65959987005226
COG0015,926,-202.66577013179483
COG0015,927,-209.44099200140784
COG0015,928,-185.40206847918336
COG0015,929,-227.18918395944476
COG0015,930,-227.6061649744667
COG0015,931,-217.2520934220438
COG0015,932,-184.97578796082252
